,mp_app_id,mp_app_vote,mp_app_vote_percent,mp_app_rank,party_id,cons_id,turn_out,prov_id,mp_app_no,mp_app_party_id,mp_app_name,first_name,last_name,id,party_no,name,abbr,color,logo_url,party_no_num,bighouse,is_winner,province,region
0,BKK_1_5,32564,44.39294,1,129.0,BKK_1,78449,BKK,5,129.0,นายปารเมศ วิทยารักษ์สรรค์,นายปารเมศ,วิทยารักษ์สรรค์,129.0,46,ประชาชน,ปชน,#fd6512,https://static-ectreport69.ect.go.th/data/parties/logos/ประชาชน.jpg,46.0,not_bighouse,1,กรุงเทพมหานคร,Bangkok
1,BKK_1_9,14018,19.11007,2,1.0,BKK_1,78449,BKK,9,1.0,นายพีรวุฒิ พิมพ์สมฤดี,นายพีรวุฒิ,พิมพ์สมฤดี,1.0,27,ประชาธิปัตย์,ปชป.,#06aff3,https://static-ectreport69.ect.go.th/data/parties/logos/ประชาธิปัตย์.jpg,27.0,not_bighouse,0,กรุงเทพมหานคร,Bangkok
2,BKK_1_1,13661,18.62339,3,63.0,BKK_1,78449,BKK,1,63.0,นางสาวลลิดา เพริศวิวัฒนา,นางสาวลลิดา,เพริศวิวัฒนา,63.0,37,ภูมิใจไทย,ภท.,#0c149c,https://static-ectreport69.ect.go.th/data/parties/logos/ภูมิใจไทย.jpg,37.0,not_bighouse,0,กรุงเทพมหานคร,Bangkok
3,BKK_1_8,5761,7.8537,4,34.0,BKK_1,78449,BKK,8,34.0,นายญาณกิตติ์ ห่วงทรัพย์,นายญาณกิตติ์,ห่วงทรัพย์,34.0,9,เพื่อไทย,พท.,#da3731,https://static-ectreport69.ect.go.th/data/parties/logos/เพื่อไทย.jpg,9.0,bighouse,0,กรุงเทพมหานคร,Bangkok
4,BKK_1_6,1983,2.70333,5,229.0,BKK_1,78449,BKK,6,229.0,นายพลัฏฐ์ ศิริกุลพิสุทธิ์,นายพลัฏฐ์,ศิริกุลพิสุทธิ์,229.0,6,รวมไทยสร้างชาติ,รทสช.,#020C54,https://static-ectreport69.ect.go.th/data/parties/logos/รวมไทยสร้างชาติ.jpg,6.0,not_bighouse,0,กรุงเทพมหานคร,Bangkok
5,BKK_1_12,1076,1.46686,6,241.0,BKK_1,78449,BKK,12,241.0,นายแทนคุณ จิตต์อิสระ,นายแทนคุณ,จิตต์อิสระ,241.0,44,โอกาสใหม่,อ,#c21b06,https://static-ectreport69.ect.go.th/data/parties/logos/โอกาสใหม่.png,44.0,not_bighouse,0,กรุงเทพมหานคร,Bangkok
6,BKK_1_7,968,1.31963,7,234.0,BKK_1,78449,BKK,7,234.0,นายภัทรพล หมดมลทิน,นายภัทรพล,หมดมลทิน,234.0,29,ไทยภักดี,ทภด.,#CBBA01,https://static-ectreport69.ect.go.th/data/parties/logos/ไทยภักดี.jpg,29.0,not_bighouse,0,กรุงเทพมหานคร,Bangkok
7,BKK_1_2,938,1.27873,8,173.0,BKK_1,78449,BKK,2,173.0,พันตำรวจโทหญิงแสนสุข อุทยานินทร์,พันตำรวจโทหญิงแสนสุข,อุทยานินทร์,173.0,11,เศรษฐกิจ,ศก,#f7c036,https://static-ectreport69.ect.go.th/data/parties/logos/เศรษฐกิจ.jpg,11.0,not_bighouse,0,กรุงเทพมหานคร,Bangkok
8,BKK_1_11,601,0.81931,9,227.0,BKK_1,78449,BKK,11,227.0,นายพิเชษฐ์ ไทยนิยม,นายพิเชษฐ์,ไทยนิยม,227.0,48,ไทยสร้างไทย,ทสท,#003dff,https://static-ectreport69.ect.go.th/data/parties/logos/ไทยสร้างไทย.jpg,48.0,not_bighouse,0,กรุงเทพมหานคร,Bangkok
9,BKK_1_16,472,0.64346,10,133.0,BKK_1,78449,BKK,16,133.0,นายกานต์ กิตติอำพน,นายกานต์,กิตติอำพน,133.0,49,ไทยก้าวใหม่,ทกม.,#f4ec53,https://static-ectreport69.ect.go.th/data/parties/logos/ไทยก้าวใหม่.jpg,49.0,not_bighouse,0,กรุงเทพมหานคร,Bangkok
10,BKK_1_4,334,0.45533,11,217.0,BKK_1,78449,BKK,4,217.0,นายธนะสิทธิ์ ล้อสุวรรณทีปต์,นายธนะสิทธิ์,ล้อสุวรรณทีปต์,217.0,7,พลวัต,พ.ว.,#58bc38,https://static-ectreport69.ect.go.th/data/parties/logos/พลวัต.jpg,7.0,not_bighouse,0,กรุงเทพมหานคร,Bangkok
11,BKK_1_3,235,0.32036,12,218.0,BKK_1,78449,BKK,3,218.0,นายอัครพล คฤหเดชรัตนา,นายอัครพล,คฤหเดชรัตนา,218.0,42,กล้าธรรม,กธ,#55CF6A,https://static-ectreport69.ect.go.th/data/parties/logos/กล้าธรรม.jpg,42.0,not_bighouse,0,กรุงเทพมหานคร,Bangkok
12,BKK_1_10,164,0.22357,13,184.0,BKK_1,78449,BKK,10,184.0,นายวีรยุทธ ประกอบการ,นายวีรยุทธ,ประกอบการ,184.0,23,ปวงชนไทย,ปท,#283a96,https://static-ectreport69.ect.go.th/data/parties/logos/ปวงชนไทย.jpg,23.0,not_bighouse,0,กรุงเทพมหานคร,Bangkok
13,BKK_1_15,154,0.20994,14,91.0,BKK_1,78449,BKK,15,91.0,นายอดัม ชินรัตนพิสิทธิ์,นายอดัม,ชินรัตนพิสิทธิ์,91.0,35,รักชาติ,รช.,#00695a,https://static-ectreport69.ect.go.th/data/parties/logos/รักชาติ.jpg,35.0,not_bighouse,0,กรุงเทพมหานคร,Bangkok
